Dataset Database Index .y. group1 group2 n1 n2 statistic p p.signif
Moss SM_gtdb-rs214-full Hill_2 Index_value A B 67 64 3664 2.63e-12 ****
Moss SM_gtdb-rs214-full Richness Index_value A B 67 64 3983.5 2.49e-17 ****
Moss SM_gtdb-rs214-full Shannon Index_value A B 67 64 3893 8.22e-16 ****
Moss SM_gtdb-rs214-full Simpson Index_value A B 67 64 3664 2.63e-12 ****
Moss SM_gtdb-rs214-full Tail Index_value A B 67 64 4018 6.33e-18 ****
Moss SM_gtdb-rs214-rep Hill_1 Index_value A B 67 64 3884 1.15e-15 ****
Moss SM_gtdb-rs214-rep Hill_2 Index_value A B 67 64 3602 1.93e-11 ****
Moss SM_gtdb-rs214-rep Richness Index_value A B 67 64 3966 4.95e-17 ****
Moss SM_gtdb-rs214-rep Shannon Index_value A B 67 64 3884 1.15e-15 ****
Moss SM_gtdb-rs214-rep Simpson Index_value A B 67 64 3602 1.93e-11 ****
Moss SM_gtdb-rs214-rep Tail Index_value A B 67 64 3995 1.59e-17 ****
Moss SM_gtdb-rs214-rep_MAGs Hill_1 Index_value A B 67 64 2933 2.83e-4 ***
Moss SM_gtdb-rs214-rep_MAGs Hill_2 Index_value A B 67 64 2395 0.249 ns
Moss SM_gtdb-rs214-rep_MAGs Richness Index_value A B 67 64 3858.5 2.96e-15 ****
Moss SM_gtdb-rs214-rep_MAGs Shannon Index_value A B 67 64 2933 2.83e-4 ***
Moss SM_gtdb-rs214-rep_MAGs Simpson Index_value A B 67 64 2395 0.249 ns
Moss SM_gtdb-rs214-rep_MAGs Tail Index_value A B 67 64 3487 6.35e-10 ****
Moss SM_gtdb-rs220-rep Hill_1 Index_value A B 67 64 3947 1.05e-16 ****
Moss SM_gtdb-rs220-rep Hill_2 Index_value A B 67 64 3707 6.27e-13 ****
Moss SM_gtdb-rs220-rep Richness Index_value A B 67 64 4025.5 4.65e-18 ****
Moss SM_gtdb-rs220-rep Shannon Index_value A B 67 64 3947 1.05e-16 ****
Moss SM_gtdb-rs220-rep Simpson Index_value A B 67 64 3707 6.27e-13 ****
Moss SM_gtdb-rs220-rep Tail Index_value A B 67 64 4066 8.96e-19 ****
NAFLD KB10 Hill_1 Index_value A B 18 16 114 0.313 ns
NAFLD KB10 Hill_2 Index_value A B 18 16 100 0.135 ns
NAFLD KB10 Richness Index_value A B 18 16 111 0.262 ns
NAFLD KB10 Shannon Index_value A B 18 16 114 0.313 ns
NAFLD KB10 Simpson Index_value A B 18 16 100 0.135 ns
NAFLD KB10 Tail Index_value A B 18 16 98 0.117 ns
NAFLD KB10_GTDB Hill_1 Index_value A B 18 16 129 0.621 ns
NAFLD KB10_GTDB Hill_2 Index_value A B 18 16 110 0.251 ns
NAFLD KB10_GTDB Richness Index_value A B 18 16 125 0.528 ns
NAFLD KB10_GTDB Shannon Index_value A B 18 16 129 0.621 ns
NAFLD KB10_GTDB Simpson Index_value A B 18 16 110 0.251 ns
NAFLD KB10_GTDB Tail Index_value A B 18 16 120 0.422 ns
NAFLD KB45 Hill_1 Index_value A B 18 16 155 0.721 ns
NAFLD KB45 Hill_2 Index_value A B 18 16 150 0.851 ns
NAFLD KB45 Richness Index_value A B 18 16 71.5 0.013 *
NAFLD KB45 Shannon Index_value A B 18 16 155 0.721 ns
NAFLD KB45 Simpson Index_value A B 18 16 150 0.851 ns
NAFLD KB45 Tail Index_value A B 18 16 137 0.825 ns
NAFLD KB45_GTDB Hill_1 Index_value A B 18 16 145 0.986 ns
NAFLD KB45_GTDB Hill_2 Index_value A B 18 16 140 0.905 ns
NAFLD KB45_GTDB Richness Index_value A B 18 16 141 0.932 ns
NAFLD KB45_GTDB Shannon Index_value A B 18 16 145 0.986 ns
NAFLD KB45_GTDB Simpson Index_value A B 18 16 140 0.905 ns
NAFLD KB45_GTDB Tail Index_value A B 18 16 142 0.959 ns
NAFLD KB90 Hill_1 Index_value A B 18 16 210 0.0224 *
NAFLD KB90 Hill_2 Index_value A B 18 16 218 0.00988 **
NAFLD KB90 Richness Index_value A B 18 16 120.5 0.427 ns
NAFLD KB90 Shannon Index_value A B 18 16 210 0.0224 *
NAFLD KB90 Simpson Index_value A B 18 16 218 0.00988 **
NAFLD KB90 Tail Index_value A B 18 16 165 0.484 ns
NAFLD KB90_GTDB Hill_1 Index_value A B 18 16 179 0.237 ns
NAFLD KB90_GTDB Hill_2 Index_value A B 18 16 192 0.102 ns
NAFLD KB90_GTDB Richness Index_value A B 18 16 154 0.746 ns
NAFLD KB90_GTDB Shannon Index_value A B 18 16 179 0.237 ns
NAFLD KB90_GTDB Simpson Index_value A B 18 16 192 0.102 ns
NAFLD KB90_GTDB Tail Index_value A B 18 16 150 0.851 ns
NAFLD MOTUS3 Hill_1 Index_value A B 18 17 142 0.732 ns
NAFLD MOTUS3 Hill_2 Index_value A B 18 17 109 0.153 ns
NAFLD MOTUS3 Richness Index_value A B 18 17 180.5 0.373 ns
NAFLD MOTUS3 Shannon Index_value A B 18 17 142 0.732 ns
NAFLD MOTUS3 Simpson Index_value A B 18 17 109 0.153 ns
NAFLD MOTUS3 Tail Index_value A B 18 17 178 0.424 ns
NAFLD MOTUS4 Hill_1 Index_value A B 17 14 111 0.769 ns
NAFLD MOTUS4 Hill_2 Index_value A B 17 14 85 0.186 ns
NAFLD MOTUS4 Richness Index_value A B 17 14 144 0.331 ns
