filepath,count
PD/preproc/SRR19064450/SRR19064450_paired_1.fastq,16705285
PD/preproc/SRR19064451/SRR19064451_paired_1.fastq,34905202
PD/preproc/SRR19064452/SRR19064452_paired_1.fastq,33561422
PD/preproc/SRR19064453/SRR19064453_paired_1.fastq,17639360
PD/preproc/SRR19064454/SRR19064454_paired_1.fastq,15615002
PD/preproc/SRR19064455/SRR19064455_paired_1.fastq,35666747
PD/preproc/SRR19064456/SRR19064456_paired_1.fastq,25833558
PD/preproc/SRR19064457/SRR19064457_paired_1.fastq,8606662
PD/preproc/SRR19064458/SRR19064458_paired_1.fastq,11506965
PD/preproc/SRR19064459/SRR19064459_paired_1.fastq,8844473
PD/preproc/SRR19064460/SRR19064460_paired_1.fastq,15964490
PD/preproc/SRR19064461/SRR19064461_paired_1.fastq,19948807
PD/preproc/SRR19064462/SRR19064462_paired_1.fastq,26281892
PD/preproc/SRR19064463/SRR19064463_paired_1.fastq,31971282
PD/preproc/SRR19064464/SRR19064464_paired_1.fastq,17136616
PD/preproc/SRR19064465/SRR19064465_paired_1.fastq,16896283
PD/preproc/SRR19064466/SRR19064466_paired_1.fastq,13068123
PD/preproc/SRR19064467/SRR19064467_paired_1.fastq,8239072
PD/preproc/SRR19064468/SRR19064468_paired_1.fastq,15559007
PD/preproc/SRR19064469/SRR19064469_paired_1.fastq,18248203
PD/preproc/SRR19064470/SRR19064470_paired_1.fastq,22471607
PD/preproc/SRR19064471/SRR19064471_paired_1.fastq,16007191
PD/preproc/SRR19064472/SRR19064472_paired_1.fastq,29974794
PD/preproc/SRR19064473/SRR19064473_paired_1.fastq,28608998
PD/preproc/SRR19064474/SRR19064474_paired_1.fastq,20780374
PD/preproc/SRR19064475/SRR19064475_paired_1.fastq,33708493
PD/preproc/SRR19064476/SRR19064476_paired_1.fastq,25342748
PD/preproc/SRR19064477/SRR19064477_paired_1.fastq,33719314
PD/preproc/SRR19064478/SRR19064478_paired_1.fastq,35962722
PD/preproc/SRR19064479/SRR19064479_paired_1.fastq,25418111
PD/preproc/SRR19064480/SRR19064480_paired_1.fastq,31222955
