feature	Actinomycetaceae	Anoxybacillaceae	Azospirillaceae	Bacillaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Caulobacteraceae	Chitinophagaceae	Dermatophilaceae	Effusibacillaceae	Enterobacteriaceae	Halomonadaceae	Lactobacillaceae	Listeriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Mycobacteriaceae	NICIL.2	Neisseriaceae	Pasteurellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Rhodocyclaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Thermaceae	Xanthomonadaceae
SRR20002441	0	0	0	0	0.0141218320919398	0.00785648177009067	0.0539120638549734	0	0	0	0	1.4673856566706	0	0.0150519433719269	0	0	0	0	0.0100531784787978	0.0135080385284918	0	0	0.0141458300248225	0.0528040379899238	0	0	0	0	0.0561354025874013	0	0.0291102209188567	0
SRR20002442	0	0	0.0435658958119457	0	0	0	0.424767898744343	0	0	0	0	0	0	0	0	0	0	0.125311660642492	0	0	0.052466170384759	0	0.137869476962604	1.09025511221356	0.0512425307112542	0	0	0.0455144061642411	0	0	0	0
SRR20002443	0	0	0	0.0247380029366899	0.049446111823295	0	0.292806209548344	0	0	0.024961927131837	0	0.0842531695329408	0.0267274925766225	0.0381547177734331	0.0255349493129739	0	0.0347328931403682	0.0821578164245785	0.632166825741043	0	0	0	0.30285113188044	0.61836916144294	0.0315413129206143	0	0.0438835191046563	0.032719301471002	0.348095736996946	0	0	0.0256219701070289
SRR20002446	0	0	0	0	0	0	0.313376679891038	0.0333255447726634	0	0	0	0	0	0.032729118126883	0	0	0.0794491564735212	0.0709352209186261	0.218890031820388	0	0	0	0.310325427928034	0.494877968538679	0	0.0300955159205925	0	0	0.351115624200071	0.69114616370865	0	0
SRR20002448	0	0	0	0	0	0	0.367401931933097	0	0	0	0	0.0576816557694155	0.0324581711336813	0	0	0	0.115186611174027	0.100482027744927	0.0993849763677593	0	0	0.303325535996707	0.279359801984833	0.834101290223813	0.044950678003466	0	0	0.0399335114560981	0.134149505633831	0.31858408180014	0	0
SRR20002450	0	0	0	0	0	0	0.061760794775215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786018524590971	0.110041560972964	0	0	0	0	1.42180231260034	0	0	0
SRR20002455	0	0	0	0.0401445119894322	0	0	0.421767533504619	0	0	0.0624478048412888	0	0.0648271149634228	0.0348542814224357	0.0393522160825618	0	0	0.0328548691131198	0.142855437174161	0.06931980590528	0	0	0	0.299149999717879	0.989278146489464	0.0495563853206259	0	0	0.0435682992264536	0.0552404658647329	0.035702146126278	0	0
SRR20002456	0	0	0	0	0	0	0.408834751112416	0	0	0	0	0	0	0.116875315560067	0	0	0	0.120921603820635	0	0	0	0	0.161335919028844	1.09232235241104	0	0	0	0	0	0	0	0
SRR20002459	0	0	0	0	0	0	0.338830562784915	0.0372370409305354	0	0	0	0	0.0366330329119424	0	0	0	0.0510688428402263	0.192039300952355	0.0968421852336693	0	0	0	0.145948047561356	0.815975126728637	0.0516616040090224	0.0633184752177669	0	0.0479534355636436	0.555072660539995	0	0	0
SRR20002464	0	0.10975625933381	0.269367654074973	0	0.151937654028938	0.0568211003848017	0.343543410311901	0	0.0843655183995851	0	0.080731436651755	0.0567039382797162	0	0	0	0	0	0.0805661520147807	0.0736538750706237	0.130917163441607	0	0	0.192369693055688	0.874804770323971	0	0	0.0640839567343499	0.0410673541730843	0	0	0.322711563963863	0
SRR20002465	0.0786028441565647	0	0	0	0.152443639949373	0.0911262352106428	0.137161461267212	0	0	0.0360859346006427	0	0.027556302501008	0	0.0153754036613871	0	0	0	0.0451602032420709	1.15606861797723	0	0	0	0.0758548381171582	0.309794668077765	0	0.0322466380335748	0	0.0180084973660853	0	0.0421540736764607	0	0
SRR20002466	0	0	0.0627325077909545	0	0	0	0.352277955564355	0	0	0	0	0	0	0	0	0	0.0589952621058002	0.0931980580861413	0	0	0.032798795401496	0	0.185275998607166	0.845377884862491	0.0418685821839792	0	0	0.0364553616905496	0.542006378266235	0	0.0291090705310453	0
